Alfalfa,7.49,Mg DM/ha/yr,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/,,,,,,,,,,,,,,
Canola ,1.64,MgWM/ha/yr,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/,,,,,,,,,,,,,,
Soybean,2.75,MgWM/ha/yr,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/,,,,,,,,,,,,,,
Sugar beet,54.68,MgWM/ha/yr,National yields 10-yr average 2002-2011. NASS. 2012. National Agricultural Statistics Service. Available online at http://quickstats.nass.usda.gov/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Miscanthus yield stats,24.6,,,,,,,,,,,,,,,,
No. estimates in the population,6,,,,,,,,,,,,,,,,
Standard Deviation,10.0,,,,,,,,,,,,,,,,
Mean,24.6,,,,,,,,,,,,,,,,
95% confidence region,8.0,,,,,,,,,,,,,,,,
Miscanthus 1,20,Mg DM/ha/yr,Collura S.  B. Azambre  G. Finqueneisel  T. Zimny  and J.V. Weber. 2006. Miscanthus x Giganteus straw and pellets as sustainable fuels  combustion and emission tests. Environ. Chem. Lett. 4: 75-78.,,,,,,,,,,,,,,
Miscanthus 2,20,Mg DM/ha/yr,Lewandowski  I. A. Kicherer and P. Vonier. 1995. CO2 - Balance for the cultivation and combustion of Miscanthus. Biomass and Bioenergy  vol. 8 No.2 pp. 81-90.,,,,,,,,,,,,,,
Miscanthus 3,15.56,Mg DM/ha/yr,Christian  D.G.  P.R. Poulton  A.B. Riche  and N.E. Yates. 1997. The recovery of 15N-labelled fertilizer applied to miscanthus x giganteus. Biomass and bioenergy 12  pp. 21-24.,,,,,,,,,,,,,,
Miscanthus 4,40.9,Mg DM/ha/yr,Clifton-Brown  J.C.  I. Lewandowski  B. Andersson  G. Basch  D.G. Christian  J.B. Kjeldsen  U. Jorgensen  J.V. Mortensen  A.B. Riche  K. Schwarz  K. Tayebi  and F. Teixeira. 2001. Performance of 15 Miscanthus genotypes at five sites in Europe. Agron. J. 93: 1013-1019.,,,,,,,,,,,,,,
Miscanthus 5,33,Mg DM/ha/yr,Heaton  E.A.  J. Clifton-Brown  T.B. Voigt  M.B. Jones  and S.P. Long. 2004. Miscanthus for renewable energy generation: european union experience and projections for Illinois. Mitigation and Adaptation Strategies for Global Change 9. pp. 433-451.,,,,,,,,,,,,,,
Miscanthus 6,18.3,Mg DM/ha/yr,Elsayed  M.A.  N.D. Mortimer and R. Matthews. 2003. Carbon and energy balances for a range of biofuels options: Interin report. Report no. 21  Resources Research Unit  Sheffield Hallan University  Sheffield  United Kingdon.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
H. Poplar yield stats,10.8,,,,,,,,,,,,,,,,
No. estimates in the population,12,,,,,,,,,,,,,,,,
Standard Deviation,4.3,,,,,,,,,,,,,,,,
Mean,10.8,,,,,,,,,,,,,,,,
95% confidence region,2.4,,,,,,,,,,,,,,,,
Poplar 1,11.5,Mg DM/ha/yr,Graham R.L. and M.E. Walsh. 1999. A national assessment of promissing areas for switchgrass  hybrid poplar  or willow energy crop production. ORNL-6944.,,,,,,,,,,,,,,
Poplar 2,16.0,Mg DM/ha/yr,Strauss  C.H.  Grado  S.C.  1992. Input-output analysis of energy requirements for short rotation  intensive culture  woody biomass. Solar Energy 48  45-51.,,,,,,,,,,,,,,
Poplar 3,18.0,Mg DM/ha/yr,Turhollow  A.F.  Perlack  R.D.  1991. Emissions of C02 from energy crop production. Biomass and Bioenergy 1  129-135.,,,,,,,,,,,,,,
Poplar 4,12.5,Mg DM/ha/yr,Dubuisson  X.  Sintzoff  I.  1998. Energy and CO2 balances in different power generation routes using wood fuel from short rotation coppice. Biomass and Bioenergy 15  379-390.,,,,,,,,,,,,,,
Poplar 5,5.0,Mg DM/ha/yr,Nonhebel  S.  2002. Energy yields in intensive and extensive biomass production systems. Biomass and Bioenergy 22  159-167.,,,,,,,,,,,,,,
Poplar 6,13.5,Mg DM/ha/yr,Gasol  C.M.  Gabarrell  X.  Anton  A.  Rigola  M.  Carrasco  J.  Ciria  P.  Rieradevall  J.  2009. LCA of poplar bioenergy system compared with Brassica carinata energy crop and natural gas in regional scenario. Biomass and Bioenergy 33  119-129.,,,,,,,,,,,,,,
Poplar 7,6.9,Mg DM/ha/yr,Scholz  V.  Ellerbrock  R.  2002. The growth productivity  and environmental impact of the cultivation of energy crops on sandy soil in Germany. Biomass and Bioenergy 23  81-92.,,,,,,,,,,,,,,
Poplar 8,13.4,Mg DM/ha/yr,Mann  M.K.  Spath  P.L.  1997. Life cycle assessment of a biomass gasification combined-cycle system. National Renewable Energy Laboratory  Golden  CO.,,,,,,,,,,,,,,
Poplar 9,7.0,Mg DM/ha/yr,Adler  P.R.  Del Grosso  S.J.  Parton  W.J.  2007. Life-cycle assessment of net greenhouse-gas flux for bioenergy cropping systems. Ecological Applications 17  675-691.,,,,,,,,,,,,,,
Poplar 10,4.2,Mg DM/ha/yr,Vande Walle  I.  Van Camp  N.  Van de Casteele  L.  Verheyen  K.  Lemeur  R.  2007. Short-rotation forestry of birch  maple  poplar and willow in Flanders (Belgium) I--Biomass production after 4 years of tree growth. Biomass and Bioenergy 31  267-275.,,,,,,,,,,,,,,
Poplar 11,10.0,Mg DM/ha/yr,Manzone  M.  Airoldi  G.  Balsari  P.  2009. Energetic and economic evaluation of a poplar cultivation for the biomass production in Italy. Biomass and Bioenergy 33  1258-1264.,,,,,,,,,,,,,,
Poplar 12,11.2,Mg DM/ha/yr,Walsh  M.E.  Becker  D.  1996. Biocost: A Software Program to Estimate the Cost of Producing Bioenergy Crops  BIOENERGY ’96 -Proceedings of the Seventh National Bioenergy Conference:Partnerships to Develop and Apply Biomass Technologies  Nashville  TN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Willow yield stats,11.8,,,,,,,,,,,,,,,,
No. estimates in the population,11,,,,,,,,,,,,,,,,
Standard Deviation,3.0,,,,,,,,,,,,,,,,
Mean,11.8,,,,,,,,,,,,,,,,
95% confidence region,1.8,,,,,,,,,,,,,,,,
Willow 1,11.9,Mg DM/ha/yr,Thyo K.A.  and H. Wenzel. 2007. Life cycle assessment of biogass from maize silage and manure. http://www.biogasmax.eu/media/life_cycle_assess__074696200_1349_02092008.pdf,,,,,,,,,,,,,,
Willow 2,15.6,Mg DM/ha/yr,Bussel  L.v.  2006. The potential of a short-rotation willow plantation to mitigate climate change. Wageningen University  Wageningen  the Netherlands  p. 51.,,,,,,,,,,,,,,
Willow 3,10,Mg DM/ha/yr,Lettens  S.  Muys  B.  Ceulemans  R.  Moons  E.  Garcia  J.  Coppin  P.  2003. Energy budget and greenhouse gas balance evaluation of sustainable coppice systems for electricity production. Biomass and Bioenergy 24  179-197.,,,,,,,,,,,,,,
Willow 4,10,Mg DM/ha/yr,Goglio  P.  Owende  P.M.O.  2009. A screening LCA of short rotation coppice willow (Salix sp.) feedstock production system for small-scale electricity generation. Biosystems Engineering 103  389-394.,,,,,,,,,,,,,,
Willow 5,16.8,Mg DM/ha/yr,Boman  U.R.  Turnbull  J.H.  1997. Integrated biomass energy systems and emissions of carbon dioxide. Biomass and Bioenergy 13  333-343.,,,,,,,,,,,,,,
Willow 6,9,Mg DM/ha/yr,Gustavsson  L.  Börjesson  P.  Johansson  B.  Svenningsson  P.  1995. Reducing CO2 emissions by substituting biomass for fossil fuels. Energy 20  1097-1113.,,,,,,,,,,,,,,
Willow 7,13.6,Mg DM/ha/yr,Heller  M.C.  Keoleian  G.A.  Volk  T.A.  2003. Life cycle assessment of a willow bioenergy cropping system. Biomass and Bioenergy 25  147-165.,,,,,,,,,,,,,,
Willow 8,15.2,Mg DM/ha/yr,Boehmel  C.  Lewandowski  I.  Claupein  W.  2008. Comparing annual and perennial energy cropping systems with different management intensities. Agricultural Systems 96  224-236.,,,,,,,,,,,,,,
Willow 9,10,Mg DM/ha/yr,Matthews  R.W.  2001. Modelling of energy and carbon budgets of wood fuel coppice systems. Biomass and Bioenergy 21  1-19.,,,,,,,,,,,,,,
Willow 10,9,Mg DM/ha/yr,Börjesson  P.I.I.  1996. Energy analysis of biomass production and transportation. Biomass and Bioenergy 11  305-318.,,,,,,,,,,,,,,
Willow 11,8.8,Mg DM/ha/yr,Styles  D.  Jones  M.B.  2008. Life-cycle environmental and economic impacts of energy-crop fuel-chains: an integrated assessment of potential GHG avoidance in Ireland. Environmental Science & Policy 11  294-306.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Crop Moisture,,,,,,,,,,,,,,,,,
Bushel crop Moisture content,value,REF.,,,,,,,,,,,,,,,
Corn,15.50%,"Beuerlein, J. 2008. Bushels, Test Weights and Calculations. Ohio State University Fact Sheet. http://ohioline.osu.edu/agf-fact/0503.html Accessed August 2008. ",,,,,,,,,,,,,,,
Corn stover,30%,"Nielsen, R.L. 1995. Questions relative to harvesting & storing corn stover. Agronomy Extension publication AGRY - 95-09. Purdue University. http://www.agry.purdue.edu/ext/corn/pubs/agry9509.htm",,,,,,,,,,,,,,,
Soybeans,13%,"Beuerlein, J. 2008. Bushels, Test Weights and Calculations. Ohio State University Fact Sheet. http://ohioline.osu.edu/agf-fact/0503.html Accessed August 2008. ",,,,,,,,,,,,,,,
Canola,9%,"Boyles,M. 2009.Canola Project Specialist. Oklahoma State University. http://www.canola.okstate.edu/commonquestions/index.htm",,,,,,,,,,,,,,,
Barley and wheat,13.5%,"Hall,R.G.2009.Grain moisture conversion to standard weights. South Dakota State University. http://plantsci.sdstate.edu/rowcrops/files/Grain%20moisture%20conversions%20to%20standard%20weights.pdf - acessed in february 2009.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total moisture content,value,REF.,,,,,,,,,,,,,,,
Corn silage half milk line,65%,PSU Agronomy guide.2008. College of Agricultural sciences. The Pennsylvania State University. http://agguide.agronomy.psu.edu/,http://agguide.agronomy.psu.edu/cm/sec4/sec46b.cfm,,,,,,,,,,,,,,
Switchgrass,15%,"McLaughlin, S.B., R. Samson, D. Bransby, and A. Weislogel. 1996. Evaluating physical, chemical, and energetic properties of perennial grasses as biofuels. Proc. Bioenergy 96, Nashville, TN, Sept. 1996. p. 1–8",,,,,,,,,,,,,,,
Alfalfa,30%,"Wu, H. 2004. Alfalfa drying properties and technologies - In review. Nature and science 2(4) 65-67.",,,,,,,,,,,,,,,
Miscanthus,30%,"Danalatos, N.G.,S.V. Archontoulis, I. Mitsios. 2006. Potential growth and biomass productivity of Miscanthus x Giganteus as affected by plant density and N-fertilization in central Greece. Biomass and bioenergy 31, 145-152.",,,,,,,,,,,,,,,
Sugar beets,75%,"Kumhala,F., v. Prosek, M. Kroulik, Z. Kviz. 2008. Parallel plate mass flow sensor for forage and sugar beet. 200 ASABE Annual International meeting. Providence, Rhode Island.",,,,,,,,,,,,,,,
Sugar beet top,84.0%,"Haciseferofullari, H., M. Acaroglu, I. Gezer. 2003. Determination of the energy balance of the sugar beet plant. Energy sources, 25: 15-22.",,,,,,,,,,,,,,,
Poplar,55.0%,"Tharakan, P.J., Volk, T.A., Abrahamson, L.P., White, E.H., 2003. Energy feedstock characteristics of willow and hybrid poplar clones at harvest age. Biomass and Bioenergy 25, 571-580.",,,,,,,,,,,,,,,
Willow,53.0%,"Tharakan, P.J., Volk, T.A., Abrahamson, L.P., White, E.H., 2003. Energy feedstock characteristics of willow and hybrid poplar clones at harvest age. Biomass and Bioenergy 25, 571-580.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fertilizer rates,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Corn grain N,0.017857143,kg N / kg corn WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Corn grain P2O5,0.007142857,kg P2O5 / kg corn WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Corn grain K2O,0.005357143,kg K2O / kg corn WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Corn silage N,0.0035,kg N / kg corn silage 65%,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Corn silage P2O5,0.0025,kg P2O5 / kg corn silage,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Corn silage K2O,0.005500001,kg K2O / kg corn silage,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Alfalfa N,0,,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Alfalfa and cool season grasses P2O5,0.007500001,kg P2O5 / kg alfalfa WM (10% moist),Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Alfalfa and cool season grasses K2O,0.025000003,kg K2O / kg alfalfa WM (10% moist),Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Red clover,0,,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Red clover P2O5,0.007500001,kg P2O5 / kg red clover WM (10% moist),Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Red clover K2O,0.020000002,kg K2O / kg red clover WM (10% moist),Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Wheat/rye N,0.017857143,kg N / kg wheat WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Wheat/rye P2O5,0.016666667,kg P2O5 / kg wheat WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Wheat/rye K2O,0.03,kg K2O / kg wheat WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Barley N,0.014285714,kg N / kg barley WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Barley P2O5,0.01,kg P2O5 / kg barley WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Barley K2O,0.025,kg K2O / kg barley WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Soybeans N,0,,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Soybeans P2O5,0.016666667,kg P2O5 / kg soybeans WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Soybeans K2O,0.023333333,kg K2O / kg soybeans WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Small grain silage N,0.008500001,kg N / kg small grain WM,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Small grain silage P2O5,0.0035,kg P2O5 / kg small grain silage,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
Small grain silage K2O,0.013000001,kg K2O / kg small grain silage,Pennsylvania State University Agronomy Guide 2014,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Canola N,123,kg/ha/yr,Frier  M.C.  and G. W. Roth. 2009. Canola or Rapeseed Production in Pennsylvania. Department of Crop and Soil Sciences  Penn State University. Available at http://downloads.cas.psu.edu/RenewableEnergy/CanolaProduction.pdf,,,,,,,,,,,,,,
Canola P2O5,22,kg/ha/yr,Frier  M.C.  and G. W. Roth. 2009. Canola or Rapeseed Production in Pennsylvania. Department of Crop and Soil Sciences  Penn State University. Available at http://downloads.cas.psu.edu/RenewableEnergy/CanolaProduction.pdf,,,,,,,,,,,,,,
Canola K2O,22,kg/ha/yr,Frier  M.C.  and G. W. Roth. 2009. Canola or Rapeseed Production in Pennsylvania. Department of Crop and Soil Sciences  Penn State University. Available at http://downloads.cas.psu.edu/RenewableEnergy/CanolaProduction.pdf,,,,,,,,,,,,,,
Canola reference yield,2.80,Mg/ha/yr,Frier  M.C.  and G. W. Roth. 2009. Canola or Rapeseed Production in Pennsylvania. Department of Crop and Soil Sciences  Penn State University. Available at http://downloads.cas.psu.edu/RenewableEnergy/CanolaProduction.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sugar beet N rates,129,kg/ha/yr,Roth G.  D. Buffington  C. Houser  M. Antle. 2008. Evaluation of fodder beets as a feedstock for PA ethanol production. Crop Management Research Report. Department of crop and soil sciences. Penn State University  University Park PA,,,,,,,,,,,,,,
Sugar beet P2O5 rates,22,kg/ha/yr,Roth G.  D. Buffington  C. Houser  M. Antle. 2008. Evaluation of fodder beets as a feedstock for PA ethanol production. Crop Management Research Report. Department of crop and soil sciences. Penn State University  University Park PA,,,,,,,,,,,,,,
Sugar beet K2O rates,22,kg/ha/yr,Roth G.  D. Buffington  C. Houser  M. Antle. 2008. Evaluation of fodder beets as a feedstock for PA ethanol production. Crop Management Research Report. Department of crop and soil sciences. Penn State University  University Park PA,,,,,,,,,,,,,,
Sugar beet reference yield,37,Mg/ha/yr,Roth G.  D. Buffington  C. Houser  M. Antle. 2008. Evaluation of fodder beets as a feedstock for PA ethanol production. Crop Management Research Report. Department of crop and soil sciences. Penn State University  University Park PA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Switchgrass N,84,kg/ha/yr,Hall  M. 2010. Warm season grasses. Agronomy facts 29. Department of Crop and Soil Sciences. Penn State University. Available at:http://cropsoil.psu.edu/extension/facts/agfacts29.cfm,,,,,,,,,,,,,,
Switchgrass P2O5,67,kg/ha/yr,Hall  M. 2010. Warm season grasses. Agronomy facts 29. Department of Crop and Soil Sciences. Penn State University. Available at:http://cropsoil.psu.edu/extension/facts/agfacts29.cfm,,,,,,,,,,,,,,
Switchgrass K2O,67,kg/ha/yr,Hall  M. 2010. Warm season grasses. Agronomy facts 29. Department of Crop and Soil Sciences. Penn State University. Available at:http://cropsoil.psu.edu/extension/facts/agfacts29.cfm,,,,,,,,,,,,,,
Switchgrass reference yield,9,MgDM/ha/yr,Hall  M. 2010. Warm season grasses. Agronomy facts 29. Department of Crop and Soil Sciences. Penn State University. Available at:http://cropsoil.psu.edu/extension/facts/agfacts29.cfm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Miscanthus N rate stats,93,,,,,,,,,,,,,,,,
No. estimates in the population,5,,,,,,,,,,,,,,,,
Standard Deviation,10.0,,,,,,,,,,,,,,,,
Mean,93,,,,,,,,,,,,,,,,
95% confidence region,8.7,,,,,,,,,,,,,,,,
Miscanthus N 1,100,kg/ha/yr,Lewandowski  I. A. Kicherer and P. Vonier. 1995. CO2 - Balance for the cultivation and combustion of Miscanthus. Biomass and Bioenergy  vol. 8 No.2 pp. 81-90.,,,,,,,,,,,,,,
Miscanthus N 2,80,kg/ha/yr,Jones  M.B. and M.Walsh.2001. Miscanthus for energy and fibre. Published by earthscan  192 pages.,,,,,,,,,,,,,,
Miscanthus N 3,100,kg/ha/yr,Bullard  M. and P. Metcalfe. 2001. Estimating the energy requirements and CO2 emissions from production of the perennial grasses miscanthus  switchgrass and reed canary grass. Report ETSU  Energy technology support unit  Harwell  United Kingdom.,,,,,,,,,,,,,,
Miscanthus N 4,100,kg/ha/yr,Collura S.  B. Azambre  G. Finqueneisel  T. Zimny  and J.V. Weber. 2006. Miscanthus x Giganteus straw and pellets as sustainable fuels  combustion and emission tests. Environ. Chem. Lett. 4: 75-78.,,,,,,,,,,,,,,
Miscanthus N 5,84,kg/ha/yr,Gibson  L. and S. Barnhart. 2007. Miscanthus hybrids for biomass production. Department of agronomy. Iowa State University.http://www.extension.iastate.edu/Publications/AG201.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Miscanthus P2O5 rate stats,53,,,,,,,,,,,,,,,,
No. estimates in the population,5,,,,,,,,,,,,,,,,
Standard Deviation,42.2,,,,,,,,,,,,,,,,
Mean,53,,,,,,,,,,,,,,,,
95% confidence region,37.0,,,,,,,,,,,,,,,,
Miscanthus P2O5 1,50,kg/ha/yr,Lewandowski  I. A. Kicherer and P. Vonier. 1995. CO2 - Balance for the cultivation and combustion of Miscanthus. Biomass and Bioenergy  vol. 8 No.2 pp. 81-90.,,,,,,,,,,,,,,
Miscanthus P2O5 2,100,kg/ha/yr,Christian  D.G.  P.R. Poulton  A.B. Riche  and N.E. Yates. 1997. The recovery of 15N-labelled fertilizer applied to miscanthus x giganteus. Biomass and bioenergy 12  pp. 21-24.,,,,,,,,,,,,,,
Miscanthus P2O5 3,10,kg/ha/yr,Jones  M.B. and M.Walsh.2001. Miscanthus for energy and fibre. Published by earthscan  192 pages.,,,,,,,,,,,,,,
Miscanthus P2O5 4,92,kg/ha/yr,Bullard  M. and P. Metcalfe. 2001. Estimating the energy requirements and CO2 emissions from production of the perennial grasses miscanthus  switchgrass and reed canary grass. Report ETSU  Energy technology support unit  Harwell  United Kingdom.,,,,,,,,,,,,,,
Miscanthus P2O5 5,14,kg/ha/yr,Gibson  L. and S. Barnhart. 2007. Miscanthus hybrids for biomass production. Department of agronomy. Iowa State University.http://www.extension.iastate.edu/Publications/AG201.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Miscanthus K2O rate stats,122,,,,,,,,,,,,,,,,
No. estimates in the population,5,,,,,,,,,,,,,,,,
Standard Deviation,52.5,,,,,,,,,,,,,,,,
Mean,121.8,,,,,,,,,,,,,,,,
95% confidence region,46.0,,,,,,,,,,,,,,,,
Miscanthus K2O 1,200,kg/ha/yr,Lewandowski  I. A. Kicherer and P. Vonier. 1995. CO2 - Balance for the cultivation and combustion of Miscanthus. Biomass and Bioenergy  vol. 8 No.2 pp. 81-90.,,,,,,,,,,,,,,
Miscanthus K2O 2,140,kg/ha/yr,Christian  D.G.  P.R. Poulton  A.B. Riche  and N.E. Yates. 1997. The recovery of 15N-labelled fertilizer applied to miscanthus x giganteus. Biomass and bioenergy 12  pp. 21-24.,,,,,,,,,,,,,,
Miscanthus K2O 3,60,kg/ha/yr,Jones  M.B. and M.Walsh.2001. Miscanthus for energy and fibre. Published by earthscan  192 pages.,,,,,,,,,,,,,,
Miscanthus K2O 4,96,kg/ha/yr,Bullard  M. and P. Metcalfe. 2001. Estimating the energy requirements and CO2 emissions from production of the perennial grasses miscanthus  switchgrass and reed canary grass. Report ETSU  Energy technology support unit  Harwell  United Kingdom.,,,,,,,,,,,,,,
Miscanthus K2O 5,113,kg/ha/yr,Gibson  L. and S. Barnhart. 2007. Miscanthus hybrids for biomass production. Department of agronomy. Iowa State University.http://www.extension.iastate.edu/Publications/AG201.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Poplar N rate stats,58,,,,,,,,,,,,,,,,
No. estimates in the population,3,,,,,,,,,,,,,,,,
Standard Deviation,6.7,,,,,,,,,,,,,,,,
Mean,58,,,,,,,,,,,,,,,,
95% confidence region,7.6,,,,,,,,,,,,,,,,
Poplar N1,50,kg/ha/yr,Perlack R.D.  J.W. Ranney  L.L. Wright. 1992. Environmental Emissions and Socioeconomic Considerations in the Production  Storage  and Transportation of Biomass Energy Feedstocks. ,,,,,,,,,,,,,,
Poplar N2,60,kg/ha/yr,Dubuisson  X.  Sintzoff  I.  1998. Energy and CO2 balances in different power generation routes using wood fuel from short rotation coppice. Biomass and Bioenergy 15  379-390.,,,,,,,,,,,,,,
Poplar N3,63,kg/ha/yr,Welke S. 2006. Wood-ethanol plantations: Implications for sustainable forest management. Sustainable Forest Management Network No. 23. ISSN 1715-0981.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Poplar P2O5 rate stats,18,,,,,,,,,,,,,,,,
No. estimates in the population,3,,,,,,,,,,,,,,,,
Standard Deviation,4.7,,,,,,,,,,,,,,,,
Mean,18,,,,,,,,,,,,,,,,
95% confidence region,5.3,,,,,,,,,,,,,,,,
Poplar P2O5 1,14.9,kg/ha/yr,Perlack R.D.  J.W. Ranney  L.L. Wright. 1992. Environmental Emissions and Socioeconomic Considerations in the Production  Storage  and Transportation of Biomass Energy Feedstocks. ,,,,,,,,,,,,,,
Poplar P2O5 2,23.0,kg/ha/yr,Dubuisson  X.  Sintzoff  I.  1998. Energy and CO2 balances in different power generation routes using wood fuel from short rotation coppice. Biomass and Bioenergy 15  379-390.,,,,,,,,,,,,,,
Poplar P2O5 3,15.0,kg/ha/yr,Welke S. 2006. Wood-ethanol plantations: Implications for sustainable forest management. Sustainable Forest Management Network No. 23. ISSN 1715-0981.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Poplar K2O rate stats,24,,,,,,,,,,,,,,,,
